name,weight
서연,34473
서윤,32728
지우,28615
서현,28194
민서,27259
하은,25374
하윤,24051
윤서,22854
지민,22194
지유,21528
채원,21329
지윤,20195
은서,20165
수아,19401
다은,19231
예은,18895
수빈,18158
지아,17280
소율,17073
예원,16950
지원,16645
예린,16554
소윤,15907
유진,14739
시은,14672
지안,14354
채은,14004
하린,13968
가은,13812
서영,13633
윤아,13557
민지,13484
예진,13190
유나,13182
수민,12908
수연,12608
연우,12262
예서,11620
예나,11610
주아,11471
시연,11461
서아,11328
연서,11088
현서,10541
다연,10504
하율,10471
다인,10440
아인,10194
서은,10126
서진,9913
유빈,9842
하연,9752
수현,9708
채윤,9695
유주,9670
시아,9627
서율,9539
지율,9475
예지,9409
서우,9391
나윤,9245
다현,9109
아린,9058
민주,8788
지은,8678
나연,8562
윤지,8508
소은,8471
시현,8467
예빈,8417
지현,8348
사랑,8329
소연,8319
혜원,7975
지수,7857
서하,7847
은채,7818
나은,7695
주하,7679
승아,7417
아윤,7363
서희,7128
나현,7072
소민,7040
민아,7030
채아,7011
세은,6941
채린,6940
다윤,6925
하영,6877
도연,6831
규리,6789
아영,6768
세아,6543
지연,6523
예림,6463
가윤,6408
태희,6280
민채,6235
유정,6175
주은,6173
시윤,6080
다온,6058
민정,6040
보민,6040
소현,6007
연아,5945
현지,5929
수진,5855
민경,5846
아현,5838
정원,5707
가현,5686
나경,5665
은지,5545
가연,5543
지효,5433
세연,5419
윤하,5401
가온,5256
채연,5116
예슬,5109
한별,5059
현아,5035
라희,4995
소희,4871
효주,4849
유림,4835
하늘,4813
채민,4709
은솔,4643
가영,4614
주연,4606
예주,4522
혜린,4455
유리,4417
봄,4358
유하,4356
다희,4307
하진,4304
다혜,4294
태연,4269
혜인,4261
지혜,4231
승연,4226
하람,4225
하랑,4213
재인,4211
소이,4192
유민,4190
은우,4174
수인,4170
윤슬,4139
지영,4134
수정,4111
하나,4088
다솜,4072
다빈,4058
채영,4005
설아,3999
주원,3997
은유,3931
시온,3908
지후,3906
고은,3839
태은,3821
나영,3762
소영,3745
태린,3704
아라,3685
수지,3684
민하,3641
재이,3571
은별,3568
보경,3563
서인,3545
다영,3531
주희,3526
정민,3521
채현,3512
리아,3444
단아,3407
효린,3397
가빈,3373
예솔,3346
시우,3345
정윤,3308
소정,3307
세빈,3273
은재,3236
한나,3209
연재,3199
연주,3152
서빈,3150
예담,3146
아연,3143
서정,3107
