name,weight
민준,37037
서준,32228
예준,26635
도윤,25665
시우,24106
주원,24029
지호,22269
하준,22251
지후,22146
준서,21576
준우,20578
현우,20403
지훈,19898
도현,19394
건우,19357
우진,18539
민재,16097
현준,16041
선우,15861
서진,15622
연우,14657
정우,14119
유준,13958
승현,13240
준혁,13151
승우,13043
지환,12938
시윤,12432
승민,12185
지우,11770
유찬,11736
민성,11578
은우,11450
준영,11315
진우,10878
시후,10871
윤우,10752
지원,10672
수현,10448
동현,9229
재윤,9016
시현,8885
민규,8814
태윤,8712
재원,8601
민우,8559
재민,8460
한결,8339
은찬,8331
시원,8191
윤호,8167
민찬,8072
수호,8045
성민,7724
준호,7525
성현,7519
승준,7507
현서,7331
시온,7279
재현,7190
지안,7162
지성,7018
태민,7002
태현,6965
예성,6946
민혁,6928
하율,6900
민호,6874
우빈,6851
이준,6806
지율,6733
성준,6722
지한,6606
정민,6591
규민,6521
윤성,6445
이안,6391
지민,6345
서우,6337
준,6283
민석,6252
은호,6236
준수,6186
윤재,6111
율,6050
은성,6034
예찬,6015
하람,5981
태양,5903
준희,5850
하진,5796
도훈,5616
준성,5589
현수,5504
승원,5428
건,5384
지완,5363
정현,5358
강민,5298
하민,5249
태준,5191
승호,5190
성빈,5090
민서,5018
주호,5001
민수,4849
우현,4823
도영,4792
건희,4776
주환,4753
정훈,4744
원준,4718
주안,4631
하랑,4558
민기,4519
현민,4511
우주,4508
경민,4488
시훈,4458
현성,4422
시율,4402
주영,4330
승윤,4326
동하,4260
서율,4245
시완,4245
다온,4233
지오,4209
태훈,4184
민건,4142
동건,4137
재훈,4121
태영,4092
호준,4028
승빈,4004
재준,3973
가온,3951
세현,3919
태경,3873
시환,3822
현진,3818
재영,3793
상현,3781
영준,3757
도율,3744
현승,3743
범준,3742
승훈,3724
찬영,3696
정원,3685
도원,3651
성윤,3633
정후,3631
주혁,3616
찬우,3558
온유,3543
윤,3536
성훈,3516
도경,3515
현,3508
우성,3498
하윤,3493
서후,3487
연준,3440
재하,3440
동윤,3435
동욱,3408
라온,3403
찬희,3402
승재,3396
건호,3383
수민,3367
이현,3358
지혁,3356
세준,3345
승찬,3316
태호,3313
태율,3246
현호,3244
태우,3235
윤찬,3235
현빈,3208
준석,3200
산,3195
유건,3195
재우,3157
윤후,3149
형준,3146
주현,3142
지운,3104
재혁,3086
효준,3062
찬,3061
성우,3060
연호,3022
동우,3014
주완,2982
주한,2979
수혁,2954
규빈,2951
이든,2940
재희,2919
상윤,2918
시헌,2918
단우,2914
석현,2896
유빈,2874
진호,2873
준형,2871
우찬,2866
우영,2812
윤서,2802
유현,2781
도연,2769
용준,2761
지용,2756
규현,2749
하늘,2734
로운,2728
동준,2723
호진,2693
시안,2684
유진,2681
준후,2658
은율,2652
진혁,2651
서원,2640
강현,2619
도하,2618
상우,2610
승환,2608
지웅,2596
은혁,2588
동훈,2562
은준,2538
승후,2530
영민,2517
태인,2509
승주,2503
대현,2500
성원,2500
유민,2496
우준,2482
종현,2478
시호,2473
현석,2448
세훈,2429
도준,2428
준현,2423
서윤,2411
상민,2401
재호,2392
승유,2359
도진,2356
태환,2345
신우,2343
동혁,2325
은수,2321
준원,2300
원우,2297
정빈,2292
민결,2290
영우,2275
강우,2255
동규,2250
서호,2216
진서,2205
선호,2203
태성,2199
성진,2181
유성,2178
혜성,2167
요한,2153
주형,2110
여준,2109
윤건,2090
태건,2073
준범,2057
도겸,2054
찬민,2041
희찬,2032
우혁,2029
서현,2025
정호,2023
아인,2019
성호,2012
인성,2011
인우,2010
민제,2009
윤수,2003
하온,2003
상준,1985
한율,1985
준민,1975
승혁,1961
태원,1958
경준,1956
희준,1952
민승,1950
재성,1943
태웅,1929
승헌,1915
진영,1914
태오,1911
유안,1897
채민,1894
하성,1889
환희,1868
승기,1866
세윤,1855
성재,1850
한울,1849
호연,1837
시준,1836
주성,1824
세진,1822
호영,1814
선율,1806
건후,1777
현규,1775
현욱,1775
재율,1768
가람,1758
규원,1744
준하,1723
찬율,1715
창민,1712
진욱,1710
시영,1699
희성,1697
재이,1690
연후,1688
지윤,1681
지섭,1676
정윤,1673
정환,1671
찬혁,1646
성찬,1638
태하,1635
세민,1621
민,1616
다원,1616
동연,1611
우석,1610
영훈,1601
은재,1591
준기,1570
상훈,1566
지석,1565
명준,1564
도형,1563
기현,1553
인호,1539
서빈,1534
재형,1531
건율,1525
지온,1523
윤준,1521
수빈,1513
진성,1509
해준,1497
은후,1493
