data,_freq
1111010100|서울특별시 종로구 자하문로33길 43|청운현대,1
1111010200|서울특별시 종로구 필운대로10길 18-8|신현(102동),1
1111010200|서울특별시 종로구 필운대로10길 16|신현(101동),1
1111010800|서울특별시 종로구 자하문로 55|효자,1
1111010900|서울특별시 종로구 옥인3길 7|청호그린빌,1
1111011100|서울특별시 종로구 필운대로 69|세종아파트,1
1111011300|서울특별시 종로구 사직로 102|신동아블루아광화문의 꿈,1
1111011300|서울특별시 종로구 사직로 95|사직파크맨션,1
1111011300|서울특별시 종로구 필운대로2길 2|두레엘리시안,1
1111011500|서울특별시 종로구 경희궁길 57|광화문풍림스페이스본(106동),1
1111011500|서울특별시 종로구 사직로8길 4|광화문풍림스페이스본(101동~105동),1
1111011500|서울특별시 종로구 사직로9길 14|사직아파트,1
1111011700|서울특별시 종로구 세종대로23길 47|롯데미도파광화문빌딩,1
1111011800|서울특별시 종로구 경희궁2길 5-5|킹스매너,1
1111011800|서울특별시 종로구 새문안로3길 23|경희궁의아침4단지,1
1111011800|서울특별시 종로구 사직로8길 24|경희궁의아침2단지,1
1111011800|서울특별시 종로구 사직로8길 34|경희궁의아침3단지,1
1111011800|서울특별시 종로구 사직로8길 20|경희궁 파크팰리스,1
1111011800|서울특별시 종로구 새문안로3길 30|세종로대우,1
1111012000|서울특별시 종로구 새문안로3길 12|신문로맨션,1
1111012900|서울특별시 종로구 삼봉로 95|대성스카이렉스,1
1111013300|서울특별시 종로구 삼일대로32길 36|운현신화타워,1
1111013300|서울특별시 종로구 돈화문로11가길 59|현대뜨레비앙,1
1111013700|서울특별시 종로구 삼일대로 428|낙원,1
1111015700|서울특별시 종로구 종로 183|효성쥬얼리시티,1
1111016000|서울특별시 종로구 종로31길 54|아르젠종로,1
1111016000|서울특별시 종로구 창경궁로18길 20-6|하이텍하우스,1
1111016600|서울특별시 종로구 대학로 47|이화에수풀,1
1111016700|서울특별시 종로구 율곡로20길 24|CS타워,1
1111016800|서울특별시 종로구 동숭4라길 27|동성아파트(2동),1
1111016800|서울특별시 종로구 동숭4라길 29|동성아파트(1동),1
1111016900|서울특별시 종로구 혜화로8길 25|혜화훼미리,1
1111017000|서울특별시 종로구 혜화로5길 20|아마레스,1
1111017000|서울특별시 종로구 혜화로9길 28|건양하늘터,1
1111017000|서울특별시 종로구 성균관로17길 22|송림아마레스아파트,1
1111017000|서울특별시 종로구 성균관로14길 19|리치캐슬아파트,1
1111017000|서울특별시 종로구 성균관로17길 33|방산아파트,1
1111017000|서울특별시 종로구 성균관로17길 35|방산(5-102),1
1111017100|서울특별시 종로구 혜화로3길 33|아남2,1
1111017100|서울특별시 종로구 창경궁로 265|아남1,1
1111017100|서울특별시 종로구 혜화로3길 5|아남3,1
1111017100|서울특별시 종로구 창경궁로 253-1|어젤리아 명륜1,1
1111017300|서울특별시 종로구 명륜2길 9-14|(1-102),1
1111017300|서울특별시 종로구 명륜4길 8|한빛,1
1111017400|서울특별시 종로구 창신길 20|동대문맨션,1
1111017400|서울특별시 종로구 지봉로 81|브라운스톤창신,1
1111017400|서울특별시 종로구 지봉로 87|창신이수,1
1111017400|서울특별시 종로구 동망산길 19|창신쌍용1,1
1111017400|서울특별시 종로구 창신길 140-8|MID그린(8동),1
1111017400|서울특별시 종로구 창신길 140-3|MID그린(9동),1
1111017400|서울특별시 종로구 창신길 140-14|MID그린(4동),1
1111017400|서울특별시 종로구 창신길 140-21|MID그린(1동),1
1111017400|서울특별시 종로구 창신길 134|일우,1
1111017400|서울특별시 종로구 창신길 140-19|MID그린(2동),1
1111017400|서울특별시 종로구 창신길 140-11|MID그린(6동),1
1111017400|서울특별시 종로구 창신길 140-15|MID그린(5동),1
1111017400|서울특별시 종로구 창신길 140-10|MID그린(7동),1
1111017400|서울특별시 종로구 창신길 140-16|MID그린(3동),1
1111017400|서울특별시 종로구 창신7길 22|창림,1
1111017400|서울특별시 종로구 창신4가길 40-3|성용,1
1111017400|서울특별시 종로구 창신길 131-4|흥인,1
1111017400|서울특별시 종로구 낙산길 198|창신쌍용2,1
1111017400|서울특별시 종로구 창신7길 17-3|미니,1
1111017400|서울특별시 종로구 종로44길 14|동문상가,1
1111017400|서울특별시 종로구 낙산성곽동길 35-1|(627-120),1
1111017400|서울특별시 종로구 청계천로 319|동대문상가,1
1111017400|서울특별시 종로구 지봉로 25|동대문,1
1111017500|서울특별시 종로구 종로 347|롯데캐슬천지인,1
1111017500|서울특별시 종로구 동망산길 47|종로센트레빌,1
1111017500|서울특별시 종로구 청계천로 391|숭인상가,1
1111017500|서울특별시 종로구 동망산길 120|할리우드파크아파트,1
1111017500|서울특별시 종로구 청계천로 375|동일상가,1
1111017500|서울특별시 종로구 숭인동길 21|종로청계힐스테이트,1
1111017500|서울특별시 종로구 보문로9길 51|주숭보아파트,1
"1111017500|서울특별시 종로구 숭인동2길 7|동문 (비동,씨동) (494-0)",1
1111017500|서울특별시 종로구 숭인동1가길 1-2|도시그린빌라트18차,1
1111017500|서울특별시 종로구 숭인동2길 51|숭인동 103동 (569-4),1
1111017500|서울특별시 종로구 숭인동2길 49-6|숭인동 102동 (569-5),1
1111017500|서울특별시 종로구 숭인동2길 48|숭인동 105동 (569-3),1
1111017500|서울특별시 종로구 숭인동2길 53|숭인동 101동(제3호) (569-0),1
1111017500|서울특별시 종로구 숭인동길 71|동문 (482-0),1
1111017500|서울특별시 종로구 보문로9길 53|동문 A,1
1111017500|서울특별시 종로구 숭인동1길 38|동문타운,1
1111017500|서울특별시 종로구 숭인동1길 31|도시그린빌라,1
1111017500|서울특별시 종로구 숭인동2길 52|숭인동 104동 (569-2),1
1111017500|서울특별시 종로구 숭인동길 83-15|하림빌라트,1
1111017500|서울특별시 종로구 종로66길 28|종로중흥S클래스,1
1111017500|서울특별시 종로구 난계로29가길 16|버넷하임1,1
1111017500|서울특별시 종로구 난계로29가길 24|종로동광모닝스카이,1
1111017500|서울특별시 종로구 종로56길 42-8|COZY빌딩,1
1111017500|서울특별시 종로구 지봉로4길 13|삼전솔하임4차,1
1111017500|서울특별시 종로구 종로58가길 27|삼전솔하임2차,1
1111017500|서울특별시 종로구 난계로29가길 20|숭인한양LEEPS,1
