surname,weight
김해 김(金),4456700
밀양 박(朴),3103942
전주 이(李),2631643
경주 김(金),1800853
경주 이(李),1391867
진주 강(姜),968109
경주 최(崔),945005
광산 김(金),926316
파평 윤(尹),770932
청주 한(韓),752689
안동 권(權),696317
인동 장(張),666652
평산 신(申),563375
순흥 안(安),520384
안동 김(金),519719
남양 홍(洪),487488
동래 정(鄭),474506
해주 오(吳),462704
전주 최(崔),458191
남평 문(文),445946
달성 서(徐),407431
창녕 조(曺),366798
수원 백(白),354428
경주 정(鄭),350587
한양 조(趙),332580
제주 고(高),310542
남원 양(梁),307724
밀양 손(孫),306895
여산 송(宋),294788
김녕 김(金),290092
금녕 김(金),287701
의성 김(金),287469
연일 정(鄭),284290
함안 조(趙),282890
나주 임(林),277699
창원 황(黃),271986
청송 심(沈),240768
문화 유(柳),237314
강릉 유(劉),236871
은진 송(宋),226050
평택 임(林),225872
성주 이(李),203703
해주 최(崔),201625
이천 서(徐),199792
진주 정(鄭),197242
진양 강(姜),193217
단양 우(禹),191287
하동 정(鄭),187152
연안 차(車),184731
창녕 성(成),182377
광주 이(李),181377
강릉 김(金),179593
천안 전(全),176239
월성 이(李),173127
장수 황(黃),170988
평해 황(黃),168374
정선 전(全),166965
현풍 곽(郭),166608
전의 이(李),164189
연안 이(李),164036
함양 박(朴),163610
의령 남(南),162729
반남 박(朴),160964
진주 하(河),160307
여흥 민(閔),159522
한산 이(李),156861
담양 전(田),155018
양천 허(許),149505
신안 주(朱),148207
충주 지(池),148144
강릉 최(崔),145335
풍천 임(任),143881
제주 양(梁),142211
영월 엄(嚴),139681
기계 유(兪),139073
선산 김(金),138819
함평 이(李),138550
영천 이(李),135612
김해 허(許),134068
고령 신(申),129718
진양 정(鄭),127279
원주 원(元),126677
나주 정(丁),125088
풍양 조(趙),124262
합천 이(李),121416
성산 이(李),113087
청풍 김(金),110815
여양 진(陳),110403
벽진 이(李),109267
능성 구(具),108209
순천 박(朴),105208
초계 정(鄭),104155
영양 천(千),100014
영산 신(辛),98759
대구 서(徐),97866
나주 나(羅),96018
연안 김(金),93382
삼척 김(金),92671
상산 김(金),91558
청도 김(金),91293
무안 박(朴),90785
문화 류(柳),90313
탐진 최(崔),89943
곡부 공(孔),89331
고성 이(李),88587
월성 김(金),87268
원주 이(李),85562
영월 신(辛),84905
평강 채(蔡),84877
여주 이(李),84389
인천 이(李),83855
성주 배(裵),83620
월성 최(崔),82843
영양 남(南),82272
평창 이(李),80607
온양 방(方),80445
죽산 안(安),77026
부안 임(林),76154
백천 조(趙),75978
장흥 고(高),75517
동복 오(吳),72394
보성 오(吳),71162
진주 유(柳),68901
경주 손(孫),68486
예천 임(林),66492
해남 윤(尹),66394
영일 정(鄭),65991
진양 하(河),65836
칠원 윤(尹),65098
성산 배(裵),65052
밀성 박(朴),64142
죽산 박(朴),63179
순천 김(金),62916
능주 구(具),62574
전주 유(柳),62189
광주 노(盧),61809
교하 노(盧),61747
수성 최(崔),61231
강릉 함(咸),59705
덕수 이(李),58513
파주 염(廉),57531
전주 김(金),56989
연주 현(玄),56047
양성 이(李),55246
재령 이(李),54166
초계 변(卞),53860
옥천 조(趙),53406
김해 배(裵),53222
성주 도(都),53066
신천 강(康),52945
언양 김(金),52652
진성 이(李),52538
고흥 유(柳),52221
금성 나(羅),51966
삭녕 최(崔),51525
거창 신(愼),51153
나주 김(金),51060
평양 조(趙),50480
부안 김(金),48961
진주 소(蘇),48836
분성 배(裵),48427
광주 안(安),48033
원주 변(邊),47804
옥천 전(全),47681
완산 이(李),46443
청주 정(鄭),46419
일선 김(金),46009
추계 추(秋),45766
풍천 노(盧),45200
해주 정(鄭),45101
영광 정(丁),44964
풍산 홍(洪),44594
단양 장(張),44334
고령 박(朴),43774
인천 채(蔡),43387
오천 정(鄭),43341
조양 임(林),42844
울산 김(金),42746
남원 윤(尹),42423
보성 선(宣),41876
충주 석(石),41802
함안 이(李),41064
광산 노(盧),40520
광산 이(李),40177
안동 장(張),39939
신평 이(李),39872
달성 배(裵),39353
화순 최(崔),38604
대구 배(裵),38589
장택 고(高),38539
청주 양(楊),38161
나주 정(鄭),37888
영광 김(金),37885
초계 최(崔),37527
흥덕 장(張),37423
청주 이(李),37377
서흥 김(金),36402
용인 이(李),36306
함양 오(吳),35846
순창 설(薛),35825
함양 여(呂),34835
흥해 배(裵),34259
충주 박(朴),34226
순창 조(趙),34069
곡산 연(延),33891
아주 신(申),33710
청주 김(金),33681
진원 박(朴),33630
진천 송(宋),32690
장흥 임(任),32198
해평 윤(尹),32091
장흥 마(馬),31886
함평 노(魯),31724
창원 정(丁),31687
영해 박(朴),31552
도강 김(金),31496
공주 이(李),30908
용궁 전(全),30142
김영 김(金),29855
온양 정(鄭),29761
양주 조(趙),29631
곡산 강(康),29107
신창 표(表),28894
함창 김(金),28343
광주 김(金),28156
장흥 위(魏),27862
거창 유(劉),27756
남양 방(房),27454
행주 기(奇),27379
봉화 정(鄭),27088
군위 오(吳),26949
울산 박(朴),26571
월성 박(朴),26565
울진 장(張),26374
우주 황(黃),25335
상주 박(朴),25238
진보 이(李),25036
영산 김(金),24941
결성 장(張),24921
전주 전(全),24886
덕수 장(張),24185
경산 전(全),23923
우봉 이(李),23902
울진 임(林),23782
연안 명(明),23313
봉화 금(琴),23301
상주 주(周),22909
고부 이(李),22891
개성 김(金),22793
흥양 이(李),22784
개성 왕(王),22452
진주 김(金),22308
경주 박(朴),22262
해평 길(吉),22187
흥성 장(張),21973
안성 이(李),21948
월성 손(孫),21714
영천 최(崔),21431
옥천 육(陸),21410
수원 김(金),21060
아산 장(蔣),21015
수안 이(李),20763
교동 인(印),20737
